timestamp,event
1619725445.9358823,start_1
1619725449.9526484,end_1
1619725456.6099489,start_3
1619725460.6254048,end_3
1619725467.9070146,start_3
1619725471.9255474,end_3
1619725477.703118,start_3
1619725481.7204723,end_3
1619725488.1234698,start_3
1619725492.140828,end_3
1619725498.2932918,start_3
1619725502.3097835,end_3
1619725508.3357217,start_1
1619725512.352122,end_1
1619725519.256712,start_2
1619725523.275961,end_2
1619725530.5613983,start_3
1619725534.579196,end_3
1619725541.862155,start_2
1619725545.879678,end_2
1619725551.6518924,start_2
1619725555.6711636,end_2
1619725562.7039962,start_1
1619725566.723871,end_1
1619725573.2539442,start_3
1619725577.2705886,end_3
1619725583.1723602,start_2
1619725587.1877737,end_2
1619725594.0897076,start_1
1619725598.108395,end_1
1619725605.2635198,start_3
1619725609.2791314,end_3
1619725615.5547514,start_1
1619725619.572875,end_1
1619725625.9797826,start_1
1619725629.9954557,end_1
1619725636.901746,start_3
1619725640.915987,end_3
1619725648.2025073,start_3
1619725652.2197888,end_3
1619725658.4994698,start_2
1619725662.5159576,end_2
1619725669.1709867,start_2
1619725673.1873677,end_2
1619725679.8440263,start_2
1619725683.861971,end_2
1619725690.2650197,start_1
1619725694.2808669,end_1
1619725701.5636916,start_1
1619725705.5800674,end_1
1619725711.4791622,start_1
1619725715.495688,end_1
1619725722.5246944,start_2
1619725726.5434418,end_2
1619725732.1930022,start_2
1619725736.212403,end_2
1619725742.112982,start_1
1619725746.1275003,end_1
1619725753.6586666,start_2
1619725757.6779325,end_2
